0	mandatory,known_tight,raw_mutation	1,3,4,7
1	mandatory,raw_mutation_N	1,2,3,60
2	mandatory,raw_mutation_N,deterministic_mutation	1,3,4,5,18
3	mandatory	1,2,6,8,10
4	mandatory	15,21,40,48,56,105,126,280,1200
5	consecutive	1,2
6	consecutive	1,2,3
7	consecutive	1,2,3,4
8	consecutive	1,2,3,4,5
9	consecutive	1,2,3,4,5,6
10	consecutive	1,2,3,4,5,6,7
11	consecutive	1,2,3,4,5,6,7,8
12	consecutive	1,2,3,4,5,6,7,8,9
13	consecutive	1,2,3,4,5,6,7,8,9,10
14	consecutive	1,2,3,4,5,6,7,8,9,10,11
15	consecutive	1,2,3,4,5,6,7,8,9,10,11,12
16	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13
17	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14
18	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
19	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
20	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
21	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
22	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
23	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
24	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
25	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
26	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
27	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
28	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
29	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
30	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
31	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
32	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
33	consecutive	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
34	known_tight,raw_mutation	1,3,4,5,9
35	known_tight	1,5,6,11,16,17
36	known_tight	1,2,3,4,5,7,12
37	known_tight	1,4,5,6,7,11,13
38	known_tight	1,2,3,4,5,6,7,8,9,10,11,13,24
39	known_tight	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,36
40	N_spike,large_N_multiple,raw_mutation,raw_mutation_N	1,2,3,5
41	N_spike,affine_residue,large_N_multiple,raw_mutation_N	1,2,3,10
42	N_spike,raw_mutation_N	1,2,3,15
43	N_spike,large_N_multiple,raw_mutation_N	1,2,3,25
44	N_spike,raw_mutation_N	1,2,3,40
45	N_spike,raw_mutation_N	1,2,3,65
46	N_spike	1,2,3,105
47	N_spike,large_N_multiple	1,2,3,250
48	N_spike,large_N_multiple	1,2,3,1000
49	N_spike,large_N_multiple,raw_mutation_N	1,2,3,4,6
